epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,378.174,0.56834,1.01105,1.44106,0.88938,0.9099,0.20031,0.3497,0.31805,0.9099,0.20031,0.34592,0.28851,0.48572,1.29392,2.96311,0.85604,0.000224849,0.000224849,0.000224849
30,392.073,0.482,1.00447,1.37939,0.87718,0.9099,0.20031,0.3497,0.31805,0.9099,0.20031,0.34592,0.28851,0.48572,1.29392,2.96311,0.85604,0.000229689,0.000229689,0.000229689
31,405.912,0.515,0.96533,1.47238,0.91684,0.95124,0.15672,0.36599,0.33136,0.96084,0.15543,0.34793,0.29524,0.48987,1.31056,2.91859,0.8587,0.00023431,0.00023431,0.00023431
32,420.378,0.52984,1.00585,1.35715,0.89547,0.95124,0.15672,0.36599,0.33136,0.96084,0.15543,0.34793,0.29524,0.48987,1.31056,2.91859,0.8587,0.000238711,0.000238711,0.000238711
33,435.108,0.53765,1.13782,1.39719,0.95558,0.97507,0.16507,0.38899,0.34798,0.97507,0.16507,0.38671,0.32052,0.49267,1.25372,2.86453,0.85677,0.000242891,0.000242891,0.000242891
34,448.366,0.50061,0.87013,1.31669,0.87725,0.97507,0.16507,0.38899,0.34798,0.97507,0.16507,0.38671,0.32052,0.49267,1.25372,2.86453,0.85677,0.000246852,0.000246852,0.000246852
35,462.254,0.51488,0.88435,1.24819,0.8649,0.98056,0.1924,0.39895,0.35729,0.98056,0.1924,0.39386,0.32599,0.49884,1.32776,2.80194,0.86338,0.000250593,0.000250593,0.000250593
36,476.237,0.50322,1.04258,1.26021,0.92909,0.98056,0.1924,0.39895,0.35729,0.98056,0.1924,0.39386,0.32599,0.49884,1.32776,2.80194,0.86338,0.000254113,0.000254113,0.000254113
37,488.819,0.49948,0.89009,1.18193,0.91114,0.9644,0.19197,0.41156,0.36934,0.9644,0.19197,0.4047,0.32226,0.50344,1.38667,2.7544,0.86673,0.000257414,0.000257414,0.000257414
38,501.525,0.53046,0.86771,1.2123,0.90027,0.9644,0.19197,0.41156,0.36934,0.9644,0.19197,0.4047,0.32226,0.50344,1.38667,2.7544,0.86673,0.000260495,0.000260495,0.000260495
